release_date,actual,forecast,previous
12-06-2026,0.0393,0.04,0.0348
12-05-2026,0.0348,0.038,0.034
13-04-2026,0.034,0.0348,0.0321
12-03-2026,0.0321,0.031,0.0273
12-02-2026,0.0275,0.024,0.0133
12-01-2026,0.0133,0.015,0.0071
12-12-2025,0.0071,0.007,0.0025
12-11-2025,0.0025,0.0048,0.0144
13-10-2025,0.0154,0.017,0.0207
12-09-2025,0.0207,0.021,0.0161
12-08-2025,0.0155,0.0176,0.021
14-07-2025,0.021,0.025,0.0282
12-06-2025,0.0282,0.03,0.0316
13-05-2025,0.0316,0.0327,0.0334
15-04-2025,0.0334,0.036,0.0361
12-03-2025,0.0361,0.04,0.0426
12-02-2025,0.0431,0.046,0.0522
13-01-2025,0.0522,0.053,0.0548
12-12-2024,0.0548,0.0553,0.0621
12-11-2024,0.0621,0.0581,0.0549
14-10-2024,0.0549,0.05,0.0365
12-09-2024,0.0365,0.0355,0.036
12-08-2024,0.0354,0.0365,0.0508
12-07-2024,0.0508,0.048,0.048
12-06-2024,0.0475,0.049,0.0483
13-05-2024,0.0483,0.048,0.0485
12-04-2024,0.0485,0.0491,0.0509
12-03-2024,0.0509,0.0502,0.051
12-02-2024,0.051,0.0509,0.0569
12-01-2024,0.0569,0.0587,0.0555
12-12-2023,0.0555,0.057,0.0487
13-11-2023,0.0487,0.048,0.0502
12-10-2023,0.0502,0.055,0.0683
12-09-2023,0.0683,0.07,0.0744
14-08-2023,0.0744,0.064,0.0487
12-07-2023,0.0481,0.0458,0.0431
12-06-2023,0.0425,0.0442,0.047
12-05-2023,0.047,0.048,0.0566
12-04-2023,0.0566,0.058,0.0644
13-03-2023,0.0644,0.0635,0.0652
13-02-2023,0.0652,0.059,0.0572
12-01-2023,0.0572,0.059,0.0588
12-12-2022,0.0588,0.064,0.0677
14-11-2022,0.0677,0.0673,0.0741
12-10-2022,0.0741,0.073,0.07
12-09-2022,0.07,0.069,0.0671
12-08-2022,0.0671,0.0678,0.0701
12-07-2022,0.0701,0.0703,0.0704
13-06-2022,0.0704,0.071,0.0779
12-05-2022,0.0779,0.075,0.0695
12-04-2022,0.0695,0.0635,0.0607
14-03-2022,0.0607,0.0593,0.0601
14-02-2022,0.0601,0.06,0.0566
12-01-2022,0.0559,0.058,0.0491
13-12-2021,0.0491,0.051,0.0448
12-11-2021,0.0448,0.0432,0.0435
12-10-2021,0.0435,0.045,0.053
13-09-2021,0.053,0.056,0.0559
12-08-2021,0.0559,0.0578,0.0626
12-07-2021,0.0626,0.0658,0.063
14-06-2021,0.063,0.053,0.0423
12-05-2021,0.0429,0.042,0.0552
12-04-2021,0.0552,0.054,0.0503
12-03-2021,0.0503,0.0483,0.0406
12-02-2021,0.0406,0.0445,0.0459
12-01-2021,0.0459,0.0528,0.0693
14-12-2020,0.0693,0.071,0.0761
12-11-2020,0.0761,0.073,0.0727
12-10-2020,0.0734,0.0688,0.0669
14-09-2020,0.0669,0.0685,0.0673
13-08-2020,0.0693,0.0615,0.0623
13-07-2020,0.0609,0.053,0.0584
12-05-2020,0.0584,0.0568,0.0591
13-04-2020,0.0591,0.0593,0.0658
12-03-2020,0.0658,0.068,0.0759
12-02-2020,0.0759,0.074,0.0735
13-01-2020,0.0735,0.062,0.0554
12-12-2019,0.0554,0.0526,0.0462
13-11-2019,0.0462,0.0425,0.0399
14-10-2019,0.0399,0.037,0.0328
12-09-2019,0.0321,0.033,0.0315
13-08-2019,0.0315,0.032,0.0318
