release_date,actual,forecast,previous
05-06-26,0.0525,0.0525,0.0525
08-04-26,0.0525,0.0525,0.0525
06-02-26,0.0525,0.0525,0.0525
05-12-25,0.0525,0.0525,0.055
01-10-25,0.055,0.055,0.055
06-08-25,0.055,0.055,0.055
06-06-25,0.055,0.0575,0.06
09-04-25,0.06,0.06,0.0625
07-02-25,0.0625,0.0625,0.065
06-12-24,0.065,0.065,0.065
09-10-24,0.065,0.065,0.065
08-08-24,0.065,0.065,0.065
07-06-24,0.065,0.065,0.065
05-04-24,0.065,0.065,0.065
08-02-24,0.065,0.065,0.065
08-12-23,0.065,0.065,0.065
06-10-23,0.065,0.065,0.065
10-08-23,0.065,0.065,0.065
08-06-23,0.065,0.065,0.065
06-04-23,0.065,0.0675,0.065
08-02-23,0.065,0.065,0.0625
07-12-22,0.0625,0.0625,0.059
30-09-22,0.059,0.059,0.054
05-08-22,0.054,0.0525,0.049
08-06-22,0.049,0.048,0.044
04-05-22,0.044,0.04,0.044
08-04-22,0.04,0.04,0.04
10-02-22,0.04,0.04,0.04
08-12-21,0.04,0.04,0.04
08-10-21,0.04,0.04,0.04
06-08-21,0.04,0.04,0.04
04-06-21,0.04,0.04,0.04
07-04-21,0.04,0.04,0.04
05-02-21,0.04,0.04,0.04
04-12-20,0.04,0.04,0.04
09-10-20,0.04,0.04,0.04
06-08-20,0.04,0.0375,0.04
22-05-20,0.04,,0.044
27-03-20,0.044,0.0515,0.0515
06-02-20,0.0515,0.0515,0.0515
05-12-19,0.0515,0.049,0.0515
04-10-19,0.0515,0.0515,0.054
07-08-19,0.054,0.055,0.0575
06-06-19,0.0575,0.0575,0.06
04-04-19,0.06,0.06,0.0625
07-02-19,0.0625,0.065,0.065
05-12-18,0.065,0.065,0.065
05-10-18,0.065,0.0675,0.065
01-08-18,0.065,0.065,0.0625
06-06-18,0.0625,0.06,0.06
05-04-18,0.06,0.06,0.06
07-02-18,0.06,0.06,0.06
06-12-17,0.06,0.06,0.06
04-10-17,0.06,0.06,0.06
02-08-17,0.06,0.06,0.0625
07-06-17,0.0625,0.0625,0.0625
06-04-17,0.0625,0.0625,0.0625
08-02-17,0.0625,0.06,0.0625
07-12-16,0.0625,0.06,0.0625
04-10-16,0.0625,0.065,0.065
09-08-16,0.065,0.065,0.065
07-06-16,0.065,0.065,0.065
05-04-16,0.065,0.065,0.0675
02-02-16,0.0675,0.0675,0.0675
01-12-15,0.0675,0.0675,0.0675
29-09-15,0.0675,0.07,0.0725
04-08-15,0.0725,0.0725,0.0725
02-06-15,0.0725,0.0725,0.075
07-04-15,0.075,0.075,0.075
04-03-15,0.075,0.0775,0.0775
03-02-15,0.0775,0.0775,0.0775
15-01-15,0.0775,0.08,0.08
02-12-14,0.08,0.08,0.08
30-09-14,0.08,0.08,0.08
05-08-14,0.08,0.08,0.08
03-06-14,0.08,0.08,0.08
01-04-14,0.08,0.08,0.08
28-01-14,0.08,0.0775,0.0775
18-12-13,0.0775,0.08,0.0775
29-10-13,0.0775,0.075,0.075
20-09-13,0.075,0.0725,0.0725
30-07-13,0.0725,0.0725,0.0725
17-06-13,0.0725,0.0725,0.0725
03-05-13,0.0725,0.0725,0.075
19-03-13,0.075,0.075,0.0775
29-01-13,0.0775,0.0775,0.08
18-12-12,0.08,0.08,0.08
30-10-12,0.08,0.08,0.08
17-09-12,0.08,0.08,0.08
31-07-12,0.08,0.08,0.08
18-06-12,0.08,0.0775,0.08
17-04-12,0.08,0.0825,0.085
01-03-12,0.085,,0.085
01-02-12,0.085,,0.085
01-01-12,0.085,,0.085
01-12-11,0.085,,0.0831
01-11-11,0.0831,,0.0813
01-10-11,0.0813,,0.08
01-09-11,0.08,,0.076
01-08-11,0.076,,0.0738
01-07-11,0.0738,,0.0723
01-06-11,0.0723,,0.0675
01-05-11,0.0675,,0.0662
01-04-11,0.0662,,0.065
01-03-11,0.065,,0.0631
01-02-11,0.0631,,0.0625
01-01-11,0.0625,,0.0625
01-12-10,0.0625,,0.06
01-11-10,0.06,,0.0588
01-10-10,0.0588,,0.0575
01-09-10,0.0575,,0.0553
01-08-10,0.0553,,0.0525
01-07-10,0.0525,,0.0525
01-06-10,0.0525,,0.051
01-05-10,0.051,,0.0485
01-04-10,0.0485,,0.0475
01-03-10,0.0475,,0.0475
01-02-10,0.0475,,0.0475
01-01-10,0.0475,,0.0475
01-12-09,0.0475,,0.0475
01-11-09,0.0475,,0.0475
01-10-09,0.0475,,0.0475
01-09-09,0.0475,,0.0475
01-08-09,0.0475,,0.0475
01-07-09,0.0475,,0.0475
01-06-09,0.0475,,0.0491
01-05-09,0.0491,,0.0505
01-04-09,0.0505,,0.055
01-03-09,0.055,,0.0555
01-02-09,0.0555,,0.0672
01-01-09,0.0672,,0.075
01-12-08,0.075,,0.0857
01-11-08,0.0857,,0.09
01-10-08,0.09,,0.09
01-09-08,0.09,,0.0854
01-08-08,0.0854,,0.08
01-07-08,0.08,,0.0775
01-06-08,0.0775,,0.0775
01-05-08,0.0775,,0.0775
01-04-08,0.0775,,0.0775
01-03-08,0.0775,,0.0775
01-02-08,0.0775,,0.0775
01-01-08,0.0775,,0.0775
