release_date,actual,forecast,previous
05-06-2026,0.0525,0.0525,0.0525
08-04-2026,0.0525,0.0525,0.0525
06-02-2026,0.0525,0.0525,0.0525
05-12-2025,0.0525,0.0525,0.055
01-10-2025,0.055,0.055,0.055
06-08-2025,0.055,0.055,0.055
06-06-2025,0.055,0.0575,0.06
09-04-2025,0.06,0.06,0.0625
07-02-2025,0.0625,0.0625,0.065
06-12-2024,0.065,0.065,0.065
09-10-2024,0.065,0.065,0.065
08-08-2024,0.065,0.065,0.065
07-06-2024,0.065,0.065,0.065
05-04-2024,0.065,0.065,0.065
08-02-2024,0.065,0.065,0.065
08-12-2023,0.065,0.065,0.065
06-10-2023,0.065,0.065,0.065
10-08-2023,0.065,0.065,0.065
08-06-2023,0.065,0.065,0.065
06-04-2023,0.065,0.0675,0.065
08-02-2023,0.065,0.065,0.0625
07-12-2022,0.0625,0.0625,0.059
30-09-2022,0.059,0.059,0.054
05-08-2022,0.054,0.0525,0.049
08-06-2022,0.049,0.048,0.044
04-05-2022,0.044,0.04,0.044
08-04-2022,0.04,0.04,0.04
10-02-2022,0.04,0.04,0.04
08-12-2021,0.04,0.04,0.04
08-10-2021,0.04,0.04,0.04
06-08-2021,0.04,0.04,0.04
04-06-2021,0.04,0.04,0.04
07-04-2021,0.04,0.04,0.04
05-02-2021,0.04,0.04,0.04
04-12-2020,0.04,0.04,0.04
09-10-2020,0.04,0.04,0.04
06-08-2020,0.04,0.0375,0.04
22-05-2020,0.04,,0.044
27-03-2020,0.044,0.0515,0.0515
06-02-2020,0.0515,0.0515,0.0515
05-12-2019,0.0515,0.049,0.0515
04-10-2019,0.0515,0.0515,0.054
07-08-2019,0.054,0.055,0.0575
06-06-2019,0.0575,0.0575,0.06
04-04-2019,0.06,0.06,0.0625
07-02-2019,0.0625,0.065,0.065
05-12-2018,0.065,0.065,0.065
05-10-2018,0.065,0.0675,0.065
01-08-2018,0.065,0.065,0.0625
06-06-2018,0.0625,0.06,0.06
05-04-2018,0.06,0.06,0.06
07-02-2018,0.06,0.06,0.06
06-12-2017,0.06,0.06,0.06
04-10-2017,0.06,0.06,0.06
02-08-2017,0.06,0.06,0.0625
07-06-2017,0.0625,0.0625,0.0625
06-04-2017,0.0625,0.0625,0.0625
08-02-2017,0.0625,0.06,0.0625
07-12-2016,0.0625,0.06,0.0625
04-10-2016,0.0625,0.065,0.065
09-08-2016,0.065,0.065,0.065
07-06-2016,0.065,0.065,0.065
05-04-2016,0.065,0.065,0.0675
02-02-2016,0.0675,0.0675,0.0675
01-12-2015,0.0675,0.0675,0.0675
29-09-2015,0.0675,0.07,0.0725
04-08-2015,0.0725,0.0725,0.0725
02-06-2015,0.0725,0.0725,0.075
07-04-2015,0.075,0.075,0.075
04-03-2015,0.075,0.0775,0.0775
03-02-2015,0.0775,0.0775,0.0775
15-01-2015,0.0775,0.08,0.08
02-12-2014,0.08,0.08,0.08
30-09-2014,0.08,0.08,0.08
05-08-2014,0.08,0.08,0.08
03-06-2014,0.08,0.08,0.08
01-04-2014,0.08,0.08,0.08
28-01-2014,0.08,0.0775,0.0775
18-12-2013,0.0775,0.08,0.0775
29-10-2013,0.0775,0.075,0.075
20-09-2013,0.075,0.0725,0.0725
30-07-2013,0.0725,0.0725,0.0725
17-06-2013,0.0725,0.0725,0.0725
03-05-2013,0.0725,0.0725,0.075
19-03-2013,0.075,0.075,0.0775
29-01-2013,0.0775,0.0775,0.08
18-12-2012,0.08,0.08,0.08
30-10-2012,0.08,0.08,0.08
17-09-2012,0.08,0.08,0.08
31-07-2012,0.08,0.08,0.08
18-06-2012,0.08,0.0775,0.08
17-04-2012,0.08,0.0825,0.085
01-03-2012,0.085,,0.085
01-02-2012,0.085,,0.085
01-01-2012,0.085,,0.085
01-12-2011,0.085,,0.0831
01-11-2011,0.0831,,0.0813
01-10-2011,0.0813,,0.08
01-09-2011,0.08,,0.076
01-08-2011,0.076,,0.0738
01-07-2011,0.0738,,0.0723
01-06-2011,0.0723,,0.0675
01-05-2011,0.0675,,0.0662
01-04-2011,0.0662,,0.065
01-03-2011,0.065,,0.0631
01-02-2011,0.0631,,0.0625
01-01-2011,0.0625,,0.0625
01-12-2010,0.0625,,0.06
01-11-2010,0.06,,0.0588
01-10-2010,0.0588,,0.0575
01-09-2010,0.0575,,0.0553
01-08-2010,0.0553,,0.0525
01-07-2010,0.0525,,0.0525
01-06-2010,0.0525,,0.051
01-05-2010,0.051,,0.0485
01-04-2010,0.0485,,0.0475
01-03-2010,0.0475,,0.0475
01-02-2010,0.0475,,0.0475
01-01-2010,0.0475,,0.0475
01-12-2009,0.0475,,0.0475
01-11-2009,0.0475,,0.0475
01-10-2009,0.0475,,0.0475
01-09-2009,0.0475,,0.0475
01-08-2009,0.0475,,0.0475
01-07-2009,0.0475,,0.0475
01-06-2009,0.0475,,0.0491
01-05-2009,0.0491,,0.0505
01-04-2009,0.0505,,0.055
01-03-2009,0.055,,0.0555
01-02-2009,0.0555,,0.0672
01-01-2009,0.0672,,0.075
01-12-2008,0.075,,0.0857
01-11-2008,0.0857,,0.09
01-10-2008,0.09,,0.09
01-09-2008,0.09,,0.0854
01-08-2008,0.0854,,0.08
01-07-2008,0.08,,0.0775
01-06-2008,0.0775,,0.0775
01-05-2008,0.0775,,0.0775
01-04-2008,0.0775,,0.0775
01-03-2008,0.0775,,0.0775
01-02-2008,0.0775,,0.0775
01-01-2008,0.0775,,0.0775
