date,market_index_value,nifty_auto_value,nifty_bank_value,nifty_energy_value,nifty_financial_services_value,nifty_fmcg_value,nifty_it_value,nifty_metal_value,nifty_pharma_value,nifty_realty_value
2008-01-01,3220.99,2370.46,9905.25,,4329.07,6477.59,4748.2,5459.3,3167.02,1782.67
2008-01-02,3282.05,2392.41,10250.85,,4443.85,6513.67,4722.5,5484.8,3208.0,1835.42
2008-01-03,3284.43,2383.54,10100.7,,4396.72,6482.09,4616.85,5412.85,3131.04,1812.25
2008-01-04,3306.04,2376.58,10233.2,,4478.07,6603.97,4592.5,5493.95,3130.51,1810.96
2008-01-07,3330.91,2375.87,10391.1,,4523.48,6778.92,4460.95,5471.44,3102.5,1855.08
2008-01-08,3258.37,2339.48,10355.6,,4501.04,6747.76,4506.35,5341.66,3075.72,1842.79
2008-01-09,3224.84,2315.66,10306.45,,4524.11,6703.22,4529.1,5323.12,3069.23,1867.72
2008-01-10,3100.45,2268.78,10266.85,,4470.8,6469.9,4432.2,5121.71,2992.27,1827.22
2008-01-11,3088.44,2257.03,10561.55,,4561.47,6413.06,4404.35,5098.78,3029.45,1852.49
2008-01-14,3131.36,2248.59,10698.35,,4607.18,6448.43,4268.15,5121.89,3023.01,1878.43
2008-01-15,3098.75,2233.4,10465.7,,4495.77,6321.21,4195.4,5017.27,3001.92,1850.83
2008-01-16,3043.59,2201.87,10346.95,,4430.69,6180.54,4173.3,4891.25,2969.08,1773.35
2008-01-17,3049.86,2219.0,10261.5,,4387.42,6284.05,4138.15,4937.52,2976.31,1773.24
2008-01-18,2886.93,2157.77,9739.9,,4172.17,6140.23,4060.0,4679.76,2931.04,1666.31
2008-01-21,2519.38,1959.56,9038.95,,3829.2,5716.47,3786.15,4091.21,2712.18,1440.44
2008-01-22,2300.05,1875.8,8682.45,,3662.63,5249.96,3626.5,3870.62,2531.19,1310.81
2008-01-23,2498.84,1946.54,9259.2,,3884.58,5589.33,3819.8,4148.28,2614.47,1462.12
2008-01-24,2406.45,1903.66,9133.85,,3855.28,5426.98,3726.05,3847.88,2518.02,1405.46
2008-01-25,2574.09,2012.1,9752.25,,4127.15,5715.15,3948.15,4255.49,2661.12,1552.32
2008-01-28,2568.09,2044.12,9901.9,,4167.77,5687.97,3800.75,4169.93,2630.79,1482.79
2008-01-29,2577.19,2035.14,9569.6,,4083.1,5830.42,3864.9,4189.99,2677.63,1441.34
2008-01-30,2502.63,1987.49,9404.15,,4007.8,5668.02,3846.65,4183.29,2700.65,1402.65
2008-01-31,2464.25,1988.42,9226.25,,3935.84,5674.0,3838.15,4157.22,2660.33,1376.48
2008-02-01,2477.82,2060.92,9327.05,,4012.28,5794.76,4074.15,4306.32,2685.71,1374.94
2008-02-04,2560.82,2103.99,9561.5,,4089.9,5876.93,4257.35,4420.07,2725.64,1461.51
2008-02-05,2588.34,2070.91,9397.8,,4053.82,5842.21,4192.55,4512.02,2783.89,1484.84
2008-02-06,2559.37,2026.41,9185.65,,3953.71,5711.0,3976.45,4336.25,2745.56,1449.12
2008-02-07,2488.11,1980.86,8960.45,,3846.99,5545.42,3846.25,4148.48,2691.17,1398.45
2008-02-08,2434.08,1962.52,8817.0,,3764.51,5683.87,3961.05,4031.27,2712.32,1361.21
2008-02-11,2287.85,1909.05,8419.25,,3557.11,5334.49,3956.15,3786.06,2653.88,1268.12
2008-02-12,2235.05,1879.3,8512.35,,3599.72,5315.01,3880.15,3772.66,2640.07,1254.52
2008-02-13,2245.3,1894.94,8748.75,,3710.67,5441.91,3874.8,3892.49,2631.37,1306.03
2008-02-14,2373.14,1944.9,9125.2,,3903.83,5614.54,3921.6,4146.85,2689.82,1405.27
2008-02-15,2431.06,1975.09,9380.05,,4013.91,5722.65,3956.6,4290.43,2758.53,1452.39
2008-02-18,2435.81,1984.37,9404.2,,4018.03,5833.55,3903.65,4319.27,2748.9,1407.58
2008-02-19,2445.78,2017.67,9423.45,,4028.87,5897.48,3937.85,4345.88,2779.72,1390.22
2008-02-20,2403.72,1971.85,9129.1,,3889.81,5778.08,3943.95,4234.53,2735.84,1339.34
2008-02-21,2426.84,1982.18,8946.2,,3820.39,5801.81,4110.25,4401.26,2808.14,1341.3
2008-02-22,2401.53,1950.91,8685.1,,3703.28,5772.01,4017.3,4421.51,2798.74,1332.93
2008-02-25,2399.83,1962.34,8666.5,,3705.69,5772.34,4082.7,4467.43,2845.97,1346.43
2008-02-26,2432.15,1979.65,8742.25,,3734.05,5804.54,4138.95,4580.18,2858.55,1383.45
2008-02-27,2440.56,1991.27,8719.6,,3750.63,5829.58,4058.6,4534.71,2907.83,1383.14
2008-02-28,2437.94,2005.96,8608.25,,3721.5,5809.19,4062.35,4641.6,2979.48,1362.42
2008-02-29,2440.62,2031.77,8688.35,,3728.68,5881.53,3984.5,4566.43,2964.53,1328.99
2008-03-03,2336.79,2016.79,8047.45,,3443.16,5742.51,3825.1,4296.66,2979.91,1243.09
