release_date,actual,forecast,previous
15-06-2026,0.0968,0.091,0.083
14-05-2026,0.083,0.044,0.0388
15-04-2026,0.0388,0.03,0.0213
16-03-2026,0.0213,0.02,0.0181
16-02-2026,0.0181,0.0125,0.0083
14-01-2026,0.0083,0.003,-0.0032
15-12-2025,-0.0032,-0.006,-0.0121
14-11-2025,-0.0121,-0.006,0.0013
14-10-2025,0.0013,0.005,0.0052
15-09-2025,0.0052,0.003,-0.0058
14-08-2025,-0.0058,-0.003,-0.0013
14-07-2025,-0.0013,0.0052,0.0039
16-06-2025,0.0039,0.008,0.0085
14-05-2025,0.0085,0.0176,0.0205
15-04-2025,0.0205,0.025,0.0238
17-03-2025,0.0238,0.0236,0.0231
14-02-2025,0.0231,0.025,0.0237
14-01-2025,0.0237,0.023,0.0189
16-12-2024,0.0189,0.022,0.0236
14-11-2024,0.0236,0.022,0.0184
14-10-2024,0.0184,0.019,0.0131
17-09-2024,0.0131,0.018,0.0204
14-08-2024,0.0204,0.0239,0.0336
15-07-2024,0.0336,0.035,0.0261
14-06-2024,0.0261,0.025,0.0126
14-05-2024,0.0126,0.01,0.0053
15-04-2024,0.0053,0.0051,0.002
14-03-2024,0.002,0.0025,0.0027
14-02-2024,0.0027,0.0053,0.0073
15-01-2024,0.0073,0.009,0.0026
14-12-2023,0.0026,0.0008,-0.0052
14-11-2023,-0.0052,-0.002,-0.0026
16-10-2023,-0.0026,0.005,-0.0052
14-09-2023,-0.0052,-0.006,-0.0136
14-08-2023,-0.0136,-0.027,-0.0412
14-07-2023,-0.0412,-0.036,-0.0348
14-06-2023,-0.0348,-0.0235,-0.0092
15-05-2023,-0.0092,-0.002,0.0134
17-04-2023,0.0134,0.0187,0.048
14-03-2023,0.0385,0.04,0.0473
14-02-2023,0.0473,0.0454,0.0495
16-01-2023,0.0495,0.056,0.0585
14-12-2022,0.0585,0.065,0.0839
14-11-2022,0.0839,0.087,0.107
14-10-2022,0.107,0.115,0.1241
14-09-2022,0.1241,0.13,0.1393
16-08-2022,0.1393,0.142,0.1518
14-07-2022,0.1518,0.155,0.1588
14-06-2022,0.1588,0.151,0.1508
17-05-2022,0.1508,0.1448,0.1455
18-04-2022,0.1455,0.13,0.1311
14-03-2022,0.1311,0.121,0.1296
14-02-2022,0.1296,0.127,0.1356
14-01-2022,0.1356,0.135,0.1423
14-12-2021,0.1423,0.119,0.1254
15-11-2021,0.1254,0.109,0.1066
14-10-2021,0.1066,0.111,0.1139
14-09-2021,0.1139,0.1075,0.1116
16-08-2021,0.1116,0.113,0.1207
14-07-2021,0.1207,0.1223,0.1294
14-06-2021,0.1294,0.1307,0.1049
17-05-2021,0.1049,0.0905,0.0739
15-04-2021,0.0739,0.059,0.0417
15-03-2021,0.0417,0.032,0.0203
15-02-2021,0.0203,0.013,0.0122
14-01-2021,0.0122,0.013,0.0155
14-12-2020,0.0155,0.0162,0.0148
16-11-2020,0.0148,,0.0132
14-10-2020,0.0132,0.0078,0.0016
14-09-2020,0.0016,-0.0027,-0.0058
14-08-2020,-0.0058,-0.01,-0.0181
14-07-2020,-0.0181,-0.024,-0.0321
15-06-2020,-0.0321,-0.0105,0.0042
14-05-2020,0,0.003,0.01
15-04-2020,0.009,0.02,0.0226
16-03-2020,0.0226,0.0265,0.031
14-02-2020,0.031,0.0292,0.0259
14-01-2020,0.0259,0.0215,0.0058
16-12-2019,0.0058,0.0074,0.0016
14-11-2019,0.0016,0.009,0.0033
14-10-2019,0.0033,0.009,0.0108
16-09-2019,0.0108,0.0104,0.0108
14-08-2019,0.0108,0.0193,0.0202
15-07-2019,0.0202,0.0235,0.0245
14-06-2019,0.0245,0.031,0.0307
14-05-2019,0.0307,0.0307,0.0318
15-04-2019,0.0318,0.032,0.0293
14-03-2019,0.0293,0.0288,0.0276
14-02-2019,0.0276,0.0365,0.038
14-01-2019,0.038,0.0442,0.0464
14-12-2018,0.0464,0.047,0.0528
14-11-2018,0.0528,0.05,0.0513
15-10-2018,0.0513,0.049,0.0453
14-09-2018,0.0453,0.0465,0.0509
14-08-2018,0.0509,0.0524,0.0577
16-07-2018,0.0577,0.0493,0.0443
14-06-2018,0.0443,0.0376,0.0318
14-05-2018,0.0318,0.0286,0.0247
16-04-2018,0.0247,0.0258,0.0248
14-03-2018,0.0248,0.025,0.0284
15-02-2018,0.0284,0.0325,0.0358
15-01-2018,0.0358,0.04,0.0393
14-12-2017,0.0393,0.0378,0.0359
14-11-2017,0.0359,0.0301,0.026
16-10-2017,0.026,0.0341,0.0324
14-09-2017,0.0324,0.03,0.0188
14-08-2017,0.0188,0.013,0.009
14-07-2017,0.009,0.016,0.0217
14-06-2017,0.0217,0.0311,0.0385
12-05-2017,0.0385,0.0479,0.057
17-04-2017,0.057,0.0598,0.0655
14-03-2017,0.0655,0.059,0.0525
14-02-2017,0.0525,0.0389,0.0339
16-01-2017,0.0339,0.035,0.0315
14-12-2016,0.0315,0.031,0.0339
15-11-2016,0.0339,0.0375,0.0357
14-10-2016,0.0357,0.0389,0.0374
14-09-2016,0.0374,0.0401,0.0355
16-08-2016,0.0355,0.0255,0.0162
14-07-2016,0.0162,0.0119,0.0079
14-06-2016,0.0079,0.0042,0.0034
16-05-2016,0.0034,-0.002,-0.0085
18-04-2016,-0.0085,-0.0077,-0.0091
14-03-2016,-0.0091,-0.0027,-0.009
15-02-2016,-0.009,-0.0015,-0.0073
14-01-2016,-0.0073,-0.0115,-0.0199
14-12-2015,-0.0199,-0.028,-0.0381
16-11-2015,-0.0381,-0.0388,-0.0454
14-10-2015,-0.0454,-0.0443,-0.0495
14-09-2015,-0.0495,-0.044,-0.0405
14-08-2015,-0.0405,-0.028,-0.024
14-07-2015,-0.024,-0.022,-0.0236
15-06-2015,-0.0236,-0.025,-0.0265
14-05-2015,-0.0265,-0.023,-0.0233
15-04-2015,-0.0233,-0.0195,-0.0206
16-03-2015,-0.0206,-0.007,-0.0039
16-02-2015,-0.0039,0.0041,0.0011
14-01-2015,0.0011,0.0061,0
15-12-2014,0,0.0136,0.0177
14-11-2014,0.0177,0.0227,0.0238
14-10-2014,0.0238,0.033,0.0374
15-09-2014,0.0374,0.045,0.0519
14-08-2014,0.0519,0.051,0.0543
14-07-2014,0.0543,0.058,0.0601
16-06-2014,0.0601,0.054,0.052
15-05-2014,0.052,0.0573,0.057
15-04-2014,0.057,0.053,0.0468
14-03-2014,0.0468,0.0499,0.0505
14-02-2014,0.0505,0.058,0.0616
15-01-2014,0.0616,0.07,0.0752
16-12-2013,0.0752,0.07,0.07
14-11-2013,0.07,0.069,0.0646
14-10-2013,0.0646,0.06,0.061
16-09-2013,0.061,0.058,0.0579
14-08-2013,0.0579,0.05,0.0486
15-07-2013,0.0486,0.049,0.047
14-06-2013,0.047,0.0487,0.0489
14-05-2013,0.0489,0.055,0.0596
15-04-2013,0.0596,0.064,0.0684
14-03-2013,0.0684,0.0659,0.0662
14-02-2013,0.0662,0.07,0.0718
14-01-2013,0.0718,0.074,0.0724
14-12-2012,0.0724,0.0757,0.0745
14-11-2012,0.0745,0.0796,0.0781
15-10-2012,0.0781,0.077,0.0755
14-09-2012,0.0755,0.0695,0.0687
14-08-2012,0.0687,0.0737,0.0725
16-07-2012,0.0725,0.0762,0.0755
14-06-2012,0.0755,0.076,0.0723
14-05-2012,0.0723,0.067,0.0689
16-04-2012,0.0689,0.067,0.0695
14-03-2012,0.0695,0.0679,0.0655
14-02-2012,0.066,0.066,0.075
16-01-2012,0.075,0.081,0.091
14-12-2011,0.091,0.095,0.097
14-11-2011,0.097,0.095,0.097
14-10-2011,0.097,0.094,0.098
14-09-2011,0.098,0.092,0.092
16-08-2011,0.092,0.091,0.094
14-07-2011,0.094,0.09,0.091
19-06-2011,0.091,,0.0974
01-05-2011,0.0974,,0.0968
01-04-2011,0.0968,,0.0954
01-03-2011,0.0954,,0.0947
01-02-2011,0.0947,,0.0945
01-01-2011,0.0945,,0.082
01-12-2010,0.082,,0.0908
01-11-2010,0.0908,,0.0898
